91026085	24190892
67479452	71474464
36785298	87735957
62463683	18439262
21542781	22464928
60357302	75977889
91811805	13288877
17296956	61297331
63788731	29107509
21669129	21114468
10146754	88986212
58809393	30886728
68058409	87545121
79732039	32739068
46109228	48461422
37330562	70916248
76043197	84423515
85499089	58380672
29118726	54592459
37760982	87769561
76980527	94211518
70896271	28096871
14454858	41145457
84368558	69218366
17906081	26638815
13742894	22523417
98736638	34541983
77671873	43291794
11333362	21448536
33472881	40058194
66952121	86396581
56849108	17494271
54163579	38357456
98748928	77040941
77563871	80712849
71088573	59159396
56013098	15396725
47955534	57660198
76888212	93934661
86888211	35993179
94279225	44984145
44500554	88419616
53516147	82322851
72290626	63429851
40100623	64105153
66801172	70337972
71398237	46450545
66313799	37302345
54644655	74886236
32033257	68445125
43311361	54376592
63837293	10240537
19339482	11717404
90999853	46070242
55951237	22225122
41486762	48716782
42828769	49015247
67734478	23690492
38549167	39873773
27995858	90671586
14358241	36853949
66669888	83746231
81990921	50941602
56018826	92396206
67793001	57417927
87526558	83888602
